site,year,Date,corn_buac
ames,1999,1999-12-31,213.36290227901344
ames,2000,2000-12-31,154.71576789491883
ames,2001,2001-12-31,129.86869723819257
ames,2002,2002-12-31,180.36760197372524
ames,2003,2003-12-31,150.3901645012377
ames,2004,2004-12-31,233.96484588426665
ames,2005,2005-12-31,162.42137766133672
ames,2006,2006-12-31,184.90445576570238
ames,2007,2007-12-31,193.9278656357766
ames,2008,2008-12-31,228.46227598579327
ames,2009,2009-12-31,207.13604530066792
ames,2010,2010-12-31,200.59734249626626
ames,2011,2011-12-31,214.5398687838058
ames,2012,2012-12-31,192.51952964713624
ames,2013,2013-12-31,154.88678012211085
ames,2014,2014-12-31,197.75049189065757
ames,2015,2015-12-31,202.99151367695487
ames,2016,2016-12-31,213.8759389605896
