ApsimVersion = 7.9 r0
Title = ames_CC_270
           Date           year      corn_buac
   (dd/mm/yyyy)         (year)             ()
     31/12/1996           1996        260.568
     31/12/1997           1997          0.000
     31/12/1998           1998        257.491
     31/12/1999           1999        223.634
     31/12/2000           2000        161.069
     31/12/2001           2001        206.658
     31/12/2002           2002        231.591
     31/12/2003           2003        228.425
     31/12/2004           2004        260.841
     31/12/2005           2005        257.040
     31/12/2006           2006        231.285
     31/12/2007           2007        215.388
     31/12/2008           2008        241.766
     31/12/2009           2009        231.465
     31/12/2010           2010        208.526
     31/12/2011           2011        217.953
     31/12/2012           2012        198.599
     31/12/2013           2013        150.481
     31/12/2014           2014        189.924
     31/12/2015           2015        224.342
     31/12/2016           2016        211.055
